timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;;;;;;;;;
1.00;217.84;veh1;144844721_0;5.10;0.00;0.00;veh_passenger;12048.08;3859.76
1.00;200.19;veh2;453093499#1_0;5.10;0.00;0.00;veh_passenger;7572.21;2495.45
1.00;348.20;veh3;532824129_0;5.10;0.00;0.00;veh_passenger;11065.10;3369.17
1.00;138.65;veh4;20285539#1_0;5.10;0.00;0.00;veh_passenger;3557.14;3233.12
1.00;219.53;veh7;322784638_1;5.10;0.00;0.00;veh_passenger;6485.10;2170.75
1.00;175.02;veh8;136792915_0;5.10;0.00;9.23;veh_passenger;9842.23;4848.91
1.00;271.30;veh9;47402191#0_5;5.10;0.00;17.43;veh_passenger;5068.49;4756.42
2.00;217.84;veh1;144844721_0;7.61;0.00;2.51;veh_passenger;12046.54;3857.78
2.00;271.30;veh10;47402191#0_5;5.10;0.00;14.77;veh_passenger;5068.49;4756.42
2.00;167.19;veh11;18906037#0_0;5.10;0.00;10.42;veh_passenger;8372.47;5555.44
2.00;244.18;veh12;75032476#0_0;5.10;0.00;9.52;veh_passenger;12375.75;3775.51
2.00;255.47;veh13;-25964861#0_0;5.10;0.00;0.00;veh_passenger;5438.52;2662.28
2.00;177.66;veh14;48486472#1_0;5.10;0.00;0.00;veh_passenger;10088.71;4446.55
2.00;155.32;veh16;22876868_0;5.10;0.00;12.48;veh_passenger;3549.32;4423.21
2.00;84.34;veh17;19783060#0_0;5.10;0.00;16.52;veh_passenger;5149.58;1654.39
2.00;355.85;veh18;48101521_0;5.10;0.00;0.00;veh_passenger;7573.58;4543.58
2.00;18.45;veh19;509517425_1;5.10;0.00;0.00;veh_passenger;7748.23;2595.82
2.00;200.19;veh2;453093499#1_0;7.65;0.00;2.55;veh_passenger;7571.33;2493.06
2.00;163.88;veh20;40369301#1_0;5.10;0.00;0.00;veh_passenger;5500.64;2491.13
2.00;75.28;veh21;138268403_0;5.10;0.00;0.00;veh_passenger;5997.00;2621.23
2.00;348.20;veh3;532824129_0;6.73;0.00;1.63;veh_passenger;11064.76;3370.77
