,timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
1527,152.0,198.23,veh33,325213134_3,18.23,0.0,22.38,veh_passenger,464.25,2421.32
1545,153.0,196.99,veh33,325213134_3,39.8,0.0,21.57,veh_passenger,457.89,2400.72
1563,154.0,195.27,veh33,325213134_3,61.03,0.0,21.23,veh_passenger,451.91,2380.36
1582,155.0,195.27,veh33,325213134_3,82.65,0.0,21.62,veh_passenger,446.22,2359.51
1600,156.0,195.27,veh33,325213134_3,104.92,0.0,22.27,veh_passenger,440.35,2338.04
1618,157.0,195.27,veh33,325213134_3,126.92,0.0,22.0,veh_passenger,434.56,2316.82
1636,158.0,195.27,veh33,325213134_3,149.06,0.0,22.14,veh_passenger,428.73,2295.48
1654,159.0,195.27,veh33,325213134_3,170.85,0.0,21.8,veh_passenger,422.99,2274.46
1672,160.0,195.27,veh33,325213134_3,192.89,0.0,22.04,veh_passenger,417.19,2253.21
1690,161.0,195.27,veh33,325213134_3,214.43,0.0,21.54,veh_passenger,411.51,2232.43
1726,163.0,199.82,veh33,39910457_0,18.06,0.0,22.3,veh_passenger,397.79,2190.8
1744,164.0,199.82,veh33,39910457_0,38.78,0.0,20.72,veh_passenger,390.78,2171.37
1762,165.0,202.53,veh33,39910457_0,55.79,0.0,17.01,veh_passenger,384.74,2155.54
1779,166.0,202.53,veh33,39910457_0,68.29,0.0,12.51,veh_passenger,379.96,2144.03
1797,167.0,202.53,veh33,39910457_0,76.3,0.0,8.01,veh_passenger,376.91,2136.66
6072,426.0,197.83,veh100,39910457_0,5.1,0.0,0.0,veh_passenger,402.16,2202.95
6090,427.0,199.82,veh100,39910457_0,6.95,0.0,1.85,veh_passenger,401.54,2201.22
6107,428.0,199.82,veh100,39910457_0,10.82,0.0,3.87,veh_passenger,400.23,2197.58
6124,429.0,199.82,veh100,39910457_0,17.09,0.0,6.27,veh_passenger,398.11,2191.7
6141,430.0,199.82,veh100,39910457_0,25.63,0.0,8.54,veh_passenger,395.23,2183.69
6158,431.0,199.82,veh100,39910457_0,35.49,0.0,9.85,veh_passenger,391.9,2174.46
6175,432.0,199.82,veh100,39910457_0,46.69,0.0,11.2,veh_passenger,388.11,2163.96
6192,433.0,202.53,veh100,39910457_0,59.51,0.0,12.82,veh_passenger,383.32,2152.12
6209,434.0,202.53,veh100,39910457_0,72.85,0.0,13.34,veh_passenger,378.23,2139.84
21475,1348.0,198.18,veh314,325213134_3,21.38,0.0,21.93,veh_passenger,463.27,2418.33
21492,1349.0,196.99,veh314,325213134_3,43.47,0.0,22.09,veh_passenger,456.81,2397.21
21509,1350.0,195.27,veh314,325213134_3,65.68,0.0,22.2,veh_passenger,450.69,2375.88
21526,1351.0,195.27,veh314,325213134_3,87.23,0.0,21.55,veh_passenger,445.01,2355.1
21543,1352.0,195.27,veh314,325213134_3,108.86,0.0,21.63,veh_passenger,439.32,2334.24
21560,1353.0,195.27,veh314,325213134_3,130.83,0.0,21.97,veh_passenger,433.53,2313.06
21577,1354.0,195.27,veh314,325213134_3,153.37,0.0,22.55,veh_passenger,427.59,2291.32
21594,1355.0,195.27,veh314,325213134_3,176.1,0.0,22.73,veh_passenger,421.61,2269.4
21610,1356.0,195.27,veh314,325213134_3,197.98,0.0,21.88,veh_passenger,415.85,2248.3
21626,1357.0,195.27,veh314,325213134_3,219.87,0.0,21.89,veh_passenger,410.08,2227.19
21642,1358.0,196.99,veh314,39910457_0,2.02,0.0,22.39,veh_passenger,403.21,2205.84
21658,1359.0,199.82,veh314,39910457_0,24.02,0.0,22.0,veh_passenger,395.77,2185.21
21674,1360.0,199.82,veh314,39910457_0,44.86,0.0,20.84,veh_passenger,388.73,2165.67
21690,1361.0,202.53,veh314,39910457_0,61.42,0.0,16.55,veh_passenger,382.59,2150.36
21706,1362.0,202.53,veh314,39910457_0,74.16,0.0,12.74,veh_passenger,377.73,2138.63
23388,1490.0,198.23,veh350,325213134_3,5.1,0.0,0.0,veh_passenger,468.36,2433.79
23403,1491.0,198.23,veh350,325213134_3,6.99,0.0,1.89,veh_passenger,467.77,2432.0
23418,1492.0,198.23,veh350,325213134_3,10.31,0.0,3.32,veh_passenger,466.73,2428.84
23433,1493.0,198.23,veh350,325213134_3,15.17,0.0,4.86,veh_passenger,465.21,2424.23
23447,1494.0,198.15,veh350,325213134_3,21.53,0.0,6.36,veh_passenger,463.22,2418.19
