,timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
1455,148.0,198.22,veh32,325213134_0,21.3,0.0,21.78,veh_passenger,454.15,2421.36
1472,149.0,197.01,veh32,325213134_0,42.96,0.0,21.66,veh_passenger,447.81,2400.61
1490,150.0,195.27,veh32,325213134_0,64.72,0.0,21.75,veh_passenger,441.76,2379.67
1508,151.0,195.27,veh32,325213134_0,86.51,0.0,21.79,veh_passenger,436.01,2358.61
1526,152.0,195.27,veh32,325213134_0,108.51,0.0,22.0,veh_passenger,430.21,2337.35
1544,153.0,195.27,veh32,325213134_0,130.52,0.0,22.02,veh_passenger,424.4,2316.08
1562,154.0,195.27,veh32,325213134_0,152.29,0.0,21.77,veh_passenger,418.66,2295.04
1581,155.0,195.27,veh32,325213134_0,173.64,0.0,21.35,veh_passenger,413.02,2274.4
1599,156.0,195.27,veh32,325213134_0,196.01,0.0,22.37,veh_passenger,407.12,2252.79
1617,157.0,195.27,veh32,325213134_0,218.46,0.0,22.45,veh_passenger,401.2,2231.09
1653,159.0,203.4,veh32,18908030_0,13.88,0.0,16.24,veh_passenger,388.62,2198.76
1671,160.0,203.4,veh32,18908030_0,29.68,0.0,15.8,veh_passenger,382.36,2184.3
1689,161.0,204.38,veh32,18908030_0,45.6,0.0,15.92,veh_passenger,375.98,2169.77
1707,162.0,208.2,veh32,18908030_0,62.33,0.0,16.73,veh_passenger,368.09,2155.07
1725,163.0,209.69,veh32,18908030_0,78.75,0.0,16.42,veh_passenger,360.22,2140.72
1743,164.0,209.69,veh32,18908030_0,95.45,0.0,16.7,veh_passenger,351.98,2126.25
1761,165.0,209.69,veh32,18908030_0,111.74,0.0,16.3,veh_passenger,343.93,2112.13
1778,166.0,213.29,veh32,18908030_0,127.76,0.0,16.01,veh_passenger,335.53,2098.56
1796,167.0,213.29,veh32,18908030_0,143.95,0.0,16.2,veh_passenger,326.67,2085.06
1814,168.0,213.29,veh32,18908030_0,160.49,0.0,16.53,veh_passenger,317.63,2071.28
1832,169.0,215.83,veh32,18908030_0,177.34,0.0,16.86,veh_passenger,307.9,2057.57
1850,170.0,215.83,veh32,18908030_0,193.42,0.0,16.08,veh_passenger,298.52,2044.58
1867,171.0,215.85,veh32,18908030_0,209.95,0.0,16.53,veh_passenger,288.87,2031.22
1884,172.0,215.83,veh32,18908030_0,226.14,0.0,16.19,veh_passenger,279.42,2018.13
1901,173.0,215.81,veh32,18908030_0,242.34,0.0,16.19,veh_passenger,270.02,2005.0
1918,174.0,215.97,veh32,18908030_0,258.18,0.0,15.84,veh_passenger,260.74,1992.22
1935,175.0,217.83,veh32,18908030_0,274.98,0.0,16.8,veh_passenger,250.77,1978.76
1952,176.0,218.32,veh32,18908030_0,290.81,0.0,15.83,veh_passenger,240.98,1966.38
9908,660.0,198.23,veh155,325213134_0,5.1,0.0,0.0,veh_passenger,459.23,2436.78
9927,661.0,198.23,veh155,325213134_0,7.35,0.0,2.25,veh_passenger,458.53,2434.64
9946,662.0,198.23,veh155,325213134_0,10.91,0.0,3.57,veh_passenger,457.41,2431.25
9964,663.0,198.23,veh155,325213134_0,16.12,0.0,5.2,veh_passenger,455.78,2426.3
9982,664.0,197.85,veh155,325213134_0,22.81,0.0,6.69,veh_passenger,453.71,2419.92
10001,665.0,197.01,veh155,325213134_0,32.02,0.0,9.22,veh_passenger,451.01,2411.09
10020,666.0,197.01,veh155,325213134_0,43.26,0.0,11.24,veh_passenger,447.72,2400.32
10039,667.0,195.9,veh155,325213134_0,56.58,0.0,13.32,veh_passenger,443.91,2387.53
10058,668.0,195.27,veh155,325213134_0,71.51,0.0,14.93,veh_passenger,439.97,2373.11
10077,669.0,195.27,veh155,325213134_0,89.02,0.0,17.51,veh_passenger,435.35,2356.19
10097,670.0,195.27,veh155,325213134_0,108.33,0.0,19.32,veh_passenger,430.26,2337.52
10116,671.0,195.27,veh155,325213134_0,130.13,0.0,21.8,veh_passenger,424.5,2316.45
10135,672.0,195.27,veh155,325213134_0,152.14,0.0,22.0,veh_passenger,418.7,2295.19
10154,673.0,195.27,veh155,325213134_0,174.11,0.0,21.97,veh_passenger,412.9,2273.96
