,timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
1264,137.0,221.23,veh32,39910453_0,5.1,0.0,22.62,veh_passenger,578.19,2630.63
1281,138.0,221.23,veh32,39910453_0,27.0,0.0,21.9,veh_passenger,563.65,2614.03
1298,139.0,216.79,veh32,39910453_0,49.05,0.0,22.05,veh_passenger,549.88,2596.64
1315,140.0,216.79,veh32,39910453_0,70.75,0.0,21.7,veh_passenger,536.79,2579.13
1332,141.0,212.22,veh32,39910453_0,93.06,0.0,22.31,veh_passenger,524.62,2560.25
1350,142.0,210.13,veh32,39910453_0,115.26,0.0,22.19,veh_passenger,513.07,2541.11
1368,143.0,210.13,veh32,39910453_0,137.76,0.0,22.51,veh_passenger,501.69,2521.51
1386,144.0,207.01,veh32,39910453_0,159.51,0.0,21.75,veh_passenger,490.99,2502.41
1404,145.0,207.01,veh32,39910453_0,181.72,0.0,22.21,veh_passenger,480.83,2482.48
1421,146.0,202.37,veh32,39910453_0,204.03,0.0,22.31,veh_passenger,472.23,2461.72
1438,147.0,225.16,veh32,:2153273020_0_0,8.01,0.0,22.51,veh_passenger,461.08,2442.07
1455,148.0,198.22,veh32,325213134_0,21.3,0.0,21.78,veh_passenger,454.15,2421.36
1472,149.0,197.01,veh32,325213134_0,42.96,0.0,21.66,veh_passenger,447.81,2400.61
1490,150.0,195.27,veh32,325213134_0,64.72,0.0,21.75,veh_passenger,441.76,2379.67
1508,151.0,195.27,veh32,325213134_0,86.51,0.0,21.79,veh_passenger,436.01,2358.61
1526,152.0,195.27,veh32,325213134_0,108.51,0.0,22.0,veh_passenger,430.21,2337.35
1544,153.0,195.27,veh32,325213134_0,130.52,0.0,22.02,veh_passenger,424.4,2316.08
1562,154.0,195.27,veh32,325213134_0,152.29,0.0,21.77,veh_passenger,418.66,2295.04
1581,155.0,195.27,veh32,325213134_0,173.64,0.0,21.35,veh_passenger,413.02,2274.4
1599,156.0,195.27,veh32,325213134_0,196.01,0.0,22.37,veh_passenger,407.12,2252.79
1617,157.0,195.27,veh32,325213134_0,218.46,0.0,22.45,veh_passenger,401.2,2231.09
1635,158.0,203.92,veh32,:243677210_0_0,14.35,0.0,18.54,veh_passenger,395.05,2213.62
1653,159.0,203.4,veh32,18908030_0,13.88,0.0,16.24,veh_passenger,388.62,2198.76
1671,160.0,203.4,veh32,18908030_0,29.68,0.0,15.8,veh_passenger,382.36,2184.3
1689,161.0,204.38,veh32,18908030_0,45.6,0.0,15.92,veh_passenger,375.98,2169.77
1707,162.0,208.2,veh32,18908030_0,62.33,0.0,16.73,veh_passenger,368.09,2155.07
1725,163.0,209.69,veh32,18908030_0,78.75,0.0,16.42,veh_passenger,360.22,2140.72
1743,164.0,209.69,veh32,18908030_0,95.45,0.0,16.7,veh_passenger,351.98,2126.25
1761,165.0,209.69,veh32,18908030_0,111.74,0.0,16.3,veh_passenger,343.93,2112.13
1778,166.0,213.29,veh32,18908030_0,127.76,0.0,16.01,veh_passenger,335.53,2098.56
1796,167.0,213.29,veh32,18908030_0,143.95,0.0,16.2,veh_passenger,326.67,2085.06
1814,168.0,213.29,veh32,18908030_0,160.49,0.0,16.53,veh_passenger,317.63,2071.28
1832,169.0,215.83,veh32,18908030_0,177.34,0.0,16.86,veh_passenger,307.9,2057.57
1850,170.0,215.83,veh32,18908030_0,193.42,0.0,16.08,veh_passenger,298.52,2044.58
1867,171.0,215.85,veh32,18908030_0,209.95,0.0,16.53,veh_passenger,288.87,2031.22
1884,172.0,215.83,veh32,18908030_0,226.14,0.0,16.19,veh_passenger,279.42,2018.13
1901,173.0,215.81,veh32,18908030_0,242.34,0.0,16.19,veh_passenger,270.02,2005.0
1918,174.0,215.97,veh32,18908030_0,258.18,0.0,15.84,veh_passenger,260.74,1992.22
1935,175.0,217.83,veh32,18908030_0,274.98,0.0,16.8,veh_passenger,250.77,1978.76
1952,176.0,218.32,veh32,18908030_0,290.81,0.0,15.83,veh_passenger,240.98,1966.38
