,timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
1527,152.0,198.23,veh33,325213134_3,18.23,0.0,22.38,veh_passenger,464.25,2421.32
1545,153.0,196.99,veh33,325213134_3,39.8,0.0,21.57,veh_passenger,457.89,2400.72
1563,154.0,195.27,veh33,325213134_3,61.03,0.0,21.23,veh_passenger,451.91,2380.36
1582,155.0,195.27,veh33,325213134_3,82.65,0.0,21.62,veh_passenger,446.22,2359.51
1600,156.0,195.27,veh33,325213134_3,104.92,0.0,22.27,veh_passenger,440.35,2338.04
1618,157.0,195.27,veh33,325213134_3,126.92,0.0,22.0,veh_passenger,434.56,2316.82
1636,158.0,195.27,veh33,325213134_3,149.06,0.0,22.14,veh_passenger,428.73,2295.48
1653,159.0,203.4,veh32,18908030_0,13.88,0.0,16.24,veh_passenger,388.62,2198.76
1654,159.0,195.27,veh33,325213134_3,170.85,0.0,21.8,veh_passenger,422.99,2274.46
1671,160.0,203.4,veh32,18908030_0,29.68,0.0,15.8,veh_passenger,382.36,2184.3
1672,160.0,195.27,veh33,325213134_3,192.89,0.0,22.04,veh_passenger,417.19,2253.21
1689,161.0,204.38,veh32,18908030_0,45.6,0.0,15.92,veh_passenger,375.98,2169.77
1690,161.0,195.27,veh33,325213134_3,214.43,0.0,21.54,veh_passenger,411.51,2232.43
1707,162.0,208.2,veh32,18908030_0,62.33,0.0,16.73,veh_passenger,368.09,2155.07
1725,163.0,209.69,veh32,18908030_0,78.75,0.0,16.42,veh_passenger,360.22,2140.72
1743,164.0,209.69,veh32,18908030_0,95.45,0.0,16.7,veh_passenger,351.98,2126.25
1761,165.0,209.69,veh32,18908030_0,111.74,0.0,16.3,veh_passenger,343.93,2112.13
1778,166.0,213.29,veh32,18908030_0,127.76,0.0,16.01,veh_passenger,335.53,2098.56
1796,167.0,213.29,veh32,18908030_0,143.95,0.0,16.2,veh_passenger,326.67,2085.06
1814,168.0,213.29,veh32,18908030_0,160.49,0.0,16.53,veh_passenger,317.63,2071.28
1832,169.0,215.83,veh32,18908030_0,177.34,0.0,16.86,veh_passenger,307.9,2057.57
1850,170.0,215.83,veh32,18908030_0,193.42,0.0,16.08,veh_passenger,298.52,2044.58
1867,171.0,215.85,veh32,18908030_0,209.95,0.0,16.53,veh_passenger,288.87,2031.22
1884,172.0,215.83,veh32,18908030_0,226.14,0.0,16.19,veh_passenger,279.42,2018.13
1901,173.0,215.81,veh32,18908030_0,242.34,0.0,16.19,veh_passenger,270.02,2005.0
1918,174.0,215.97,veh32,18908030_0,258.18,0.0,15.84,veh_passenger,260.74,1992.22
1935,175.0,217.83,veh32,18908030_0,274.98,0.0,16.8,veh_passenger,250.77,1978.76
1952,176.0,218.32,veh32,18908030_0,290.81,0.0,15.83,veh_passenger,240.98,1966.38
10226,677.0,203.4,veh155,18908030_0,15.27,0.0,15.87,veh_passenger,388.06,2197.48
10244,678.0,203.4,veh155,18908030_0,32.04,0.0,16.76,veh_passenger,381.42,2182.14
10262,679.0,206.76,veh155,18908030_0,48.07,0.0,16.04,veh_passenger,374.81,2167.59
10280,680.0,208.2,veh155,18908030_0,64.27,0.0,16.2,veh_passenger,367.18,2153.36
10298,681.0,209.69,veh155,18908030_0,81.16,0.0,16.89,veh_passenger,359.03,2138.63
10317,682.0,209.69,veh155,18908030_0,96.97,0.0,15.81,veh_passenger,351.22,2124.93
10336,683.0,209.69,veh155,18908030_0,113.56,0.0,16.59,veh_passenger,343.03,2110.56
10355,684.0,213.29,veh155,18908030_0,130.27,0.0,16.71,veh_passenger,334.16,2096.47
10374,685.0,213.29,veh155,18908030_0,147.24,0.0,16.96,veh_passenger,324.88,2082.33
10393,686.0,213.29,veh155,18908030_0,163.33,0.0,16.1,veh_passenger,316.07,2068.91
10412,687.0,215.83,veh155,18908030_0,179.9,0.0,16.56,veh_passenger,306.41,2055.51
10430,688.0,215.83,veh155,18908030_0,196.87,0.0,16.97,veh_passenger,296.51,2041.79
10448,689.0,215.85,veh155,18908030_0,212.93,0.0,16.07,veh_passenger,287.13,2028.81
10466,690.0,215.65,veh155,18908030_0,228.79,0.0,15.85,veh_passenger,277.89,2015.98
10484,691.0,215.97,veh155,18908030_0,245.35,0.0,16.56,veh_passenger,268.25,2002.57
10502,692.0,215.97,veh155,18908030_0,261.73,0.0,16.38,veh_passenger,258.66,1989.35
