,timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
1264,137.0,221.23,veh32,39910453_0,5.1,0.0,22.62,veh_passenger,578.19,2630.63
1281,138.0,221.23,veh32,39910453_0,27.0,0.0,21.9,veh_passenger,563.65,2614.03
1298,139.0,216.79,veh32,39910453_0,49.05,0.0,22.05,veh_passenger,549.88,2596.64
1315,140.0,216.79,veh32,39910453_0,70.75,0.0,21.7,veh_passenger,536.79,2579.13
1332,141.0,212.22,veh32,39910453_0,93.06,0.0,22.31,veh_passenger,524.62,2560.25
1333,141.0,221.24,veh33,39910453_1,5.1,0.0,22.45,veh_passenger,580.62,2628.54
1350,142.0,210.13,veh32,39910453_0,115.26,0.0,22.19,veh_passenger,513.07,2541.11
1351,142.0,221.24,veh33,39910453_1,26.71,0.0,21.61,veh_passenger,566.34,2612.24
1368,143.0,210.13,veh32,39910453_0,137.76,0.0,22.51,veh_passenger,501.69,2521.51
1369,143.0,216.79,veh33,39910453_1,48.29,0.0,21.58,veh_passenger,552.89,2595.32
1386,144.0,207.01,veh32,39910453_0,159.51,0.0,21.75,veh_passenger,490.99,2502.41
1387,144.0,216.79,veh33,39910453_1,70.19,0.0,21.9,veh_passenger,539.75,2577.75
1404,145.0,207.01,veh32,39910453_0,181.72,0.0,22.21,veh_passenger,480.83,2482.48
1405,145.0,212.21,veh33,39910453_1,91.62,0.0,21.44,veh_passenger,528.07,2559.72
1421,146.0,202.37,veh32,39910453_0,204.03,0.0,22.31,veh_passenger,472.23,2461.72
1422,146.0,210.14,veh33,39910453_1,113.42,0.0,21.8,veh_passenger,516.73,2541.04
1438,147.0,225.16,veh32,:2153273020_0_0,8.01,0.0,22.51,veh_passenger,461.08,2442.07
1439,147.0,210.14,veh33,39910453_1,135.55,0.0,22.13,veh_passenger,505.6,2521.86
1455,148.0,198.22,veh32,325213134_0,21.3,0.0,21.78,veh_passenger,454.15,2421.36
1456,148.0,207.76,veh33,39910453_1,157.31,0.0,21.77,veh_passenger,494.82,2502.89
1472,149.0,197.01,veh32,325213134_0,42.96,0.0,21.66,veh_passenger,447.81,2400.61
1473,149.0,207.01,veh33,39910453_1,179.46,0.0,22.14,veh_passenger,484.74,2483.12
1490,150.0,195.27,veh32,325213134_0,64.72,0.0,21.75,veh_passenger,441.76,2379.67
1491,150.0,202.36,veh33,39910453_1,200.77,0.0,21.32,veh_passenger,476.4,2463.45
1508,151.0,195.27,veh32,325213134_0,86.51,0.0,21.79,veh_passenger,436.01,2358.61
1509,151.0,181.89,veh33,:2153273020_0_3,4.34,0.0,22.1,veh_passenger,469.72,2442.72
1526,152.0,195.27,veh32,325213134_0,108.51,0.0,22.0,veh_passenger,430.21,2337.35
1527,152.0,198.23,veh33,325213134_3,18.23,0.0,22.38,veh_passenger,464.25,2421.32
1544,153.0,195.27,veh32,325213134_0,130.52,0.0,22.02,veh_passenger,424.4,2316.08
1545,153.0,196.99,veh33,325213134_3,39.8,0.0,21.57,veh_passenger,457.89,2400.72
1562,154.0,195.27,veh32,325213134_0,152.29,0.0,21.77,veh_passenger,418.66,2295.04
1563,154.0,195.27,veh33,325213134_3,61.03,0.0,21.23,veh_passenger,451.91,2380.36
1581,155.0,195.27,veh32,325213134_0,173.64,0.0,21.35,veh_passenger,413.02,2274.4
1582,155.0,195.27,veh33,325213134_3,82.65,0.0,21.62,veh_passenger,446.22,2359.51
1599,156.0,195.27,veh32,325213134_0,196.01,0.0,22.37,veh_passenger,407.12,2252.79
1600,156.0,195.27,veh33,325213134_3,104.92,0.0,22.27,veh_passenger,440.35,2338.04
1617,157.0,195.27,veh32,325213134_0,218.46,0.0,22.45,veh_passenger,401.2,2231.09
1618,157.0,195.27,veh33,325213134_3,126.92,0.0,22.0,veh_passenger,434.56,2316.82
1635,158.0,203.92,veh32,:243677210_0_0,14.35,0.0,18.54,veh_passenger,395.05,2213.62
1636,158.0,195.27,veh33,325213134_3,149.06,0.0,22.14,veh_passenger,428.73,2295.48
1653,159.0,203.4,veh32,18908030_0,13.88,0.0,16.24,veh_passenger,388.62,2198.76
1654,159.0,195.27,veh33,325213134_3,170.85,0.0,21.8,veh_passenger,422.99,2274.46
1671,160.0,203.4,veh32,18908030_0,29.68,0.0,15.8,veh_passenger,382.36,2184.3
1672,160.0,195.27,veh33,325213134_3,192.89,0.0,22.04,veh_passenger,417.19,2253.21
1689,161.0,204.38,veh32,18908030_0,45.6,0.0,15.92,veh_passenger,375.98,2169.77
1690,161.0,195.27,veh33,325213134_3,214.43,0.0,21.54,veh_passenger,411.51,2232.43
1707,162.0,208.2,veh32,18908030_0,62.33,0.0,16.73,veh_passenger,368.09,2155.07
1708,162.0,198.63,veh33,:243677210_3_0,13.35,0.0,21.57,veh_passenger,405.07,2211.81
1725,163.0,209.69,veh32,18908030_0,78.75,0.0,16.42,veh_passenger,360.22,2140.72
1726,163.0,199.82,veh33,39910457_0,18.06,0.0,22.3,veh_passenger,397.79,2190.8
1743,164.0,209.69,veh32,18908030_0,95.45,0.0,16.7,veh_passenger,351.98,2126.25
1744,164.0,199.82,veh33,39910457_0,38.78,0.0,20.72,veh_passenger,390.78,2171.37
1761,165.0,209.69,veh32,18908030_0,111.74,0.0,16.3,veh_passenger,343.93,2112.13
1762,165.0,202.53,veh33,39910457_0,55.79,0.0,17.01,veh_passenger,384.74,2155.54
1778,166.0,213.29,veh32,18908030_0,127.76,0.0,16.01,veh_passenger,335.53,2098.56
1779,166.0,202.53,veh33,39910457_0,68.29,0.0,12.51,veh_passenger,379.96,2144.03
1796,167.0,213.29,veh32,18908030_0,143.95,0.0,16.2,veh_passenger,326.67,2085.06
1797,167.0,202.53,veh33,39910457_0,76.3,0.0,8.01,veh_passenger,376.91,2136.66
1814,168.0,213.29,veh32,18908030_0,160.49,0.0,16.53,veh_passenger,317.63,2071.28
1815,168.0,204.05,veh33,51574893_0,7.5,0.0,7.91,veh_passenger,373.71,2129.48
1832,169.0,215.83,veh32,18908030_0,177.34,0.0,16.86,veh_passenger,307.9,2057.57
1833,169.0,204.05,veh33,51574893_0,15.89,0.0,8.39,veh_passenger,370.29,2121.83
1850,170.0,215.83,veh32,18908030_0,193.42,0.0,16.08,veh_passenger,298.52,2044.58
1851,170.0,208.49,veh33,51574893_0,24.14,0.0,8.25,veh_passenger,366.59,2114.49
1867,171.0,215.85,veh32,18908030_0,209.95,0.0,16.53,veh_passenger,288.87,2031.22
